x0000,y0000
1829,10.26482015,
1830,10.26470081,
1831,10.26487744,
1832,10.26520682,
1833,10.26484402,
1834,10.26481538,
1835,10.26498246,
1836,10.2648488,
1837,10.26482493,
1838,10.26489653,
1839,10.26498723,
1840,10.26490608,
1841,10.26474378,
1842,10.26492995,
1843,10.2649204,
1844,10.26460534,
1845,10.2647581,
1846,10.26492995,
1847,10.26486789,
1848,10.26489653,
1849,10.26480106,
1850,10.2651925,
1851,10.26484402,
1852,10.2648488,
1853,10.26498246,
1854,10.26497291,
1855,10.26486312,
1856,10.26488698,
1857,10.26517818,
1858,10.26495382,
1859,10.26493472,
1860,10.26504929,
1861,10.26476764,
1862,10.26476764,
1863,10.26469127,
1864,10.26472468,
1865,10.26481061,
1866,10.26477719,
1867,10.26489653,
1868,10.26482015,
1869,10.26471513,
1870,10.26485834,
1871,10.264992,
1872,10.26482015,
1873,10.26485834,
1874,10.26477719,
1875,10.26485834,
1876,10.26507793,
1877,10.2650827,
1878,10.26479629,
1879,10.26503019,
1880,10.26489176,
1881,10.26471513,
1882,10.26476287,
1883,10.26476287,
1884,10.2649204,
1885,10.26484402,
1886,10.26489176,
1887,10.26480106,
1888,10.26498246,
1889,10.26467217,
1890,10.26485357,
1891,10.26487744,
1892,10.26495382,
1893,10.26486312,
1894,10.26503497,
1895,10.26481538,
1896,10.26508748,
1897,10.26512089,
1898,10.264992,
1899,10.26503497,
1900,10.26492517,
1901,10.26502065,
1902,10.26495382,
1903,10.26475332,
1904,10.26531184,
1905,10.26472945,
1906,10.26477242,
1907,10.264739,
1908,10.26493472,
1909,10.26478674,
1910,10.2651734,
1911,10.26498723,
1912,10.26473423,
1913,10.26495859,
1914,10.26489653,
1915,10.2648297,
1916,10.26468649,
1917,10.26504929,
1918,10.26471036,
1919,10.26478196,
1920,10.26503974,
1921,10.26482015,
1922,10.26495859,
1923,10.26523069,
1924,10.26481538,
1925,10.26461489,
1926,10.26491085,
1927,10.26480583,
1928,10.26486789,
1929,10.26490608,
1930,10.26490608,
1931,10.26491085,
1932,10.26459579,
1933,10.26493472,
1934,10.26485834,
1935,10.26492517,
1936,10.26495382,
1937,10.264992,
1938,10.26487266,
1939,10.26483447,
1940,10.26472468,
1941,10.26465308,
1942,10.2645767,
1943,10.26476764,
1944,10.26506361,
1945,10.26472945,
1946,10.26500633,
1947,10.26461966,
1948,10.26465785,
1949,10.26477719,
1950,10.26486789,
1951,10.26470081,
1952,10.26486789,
1953,10.26495382,
1954,10.2650111,
1955,10.264739,
1956,10.26483925,
1957,10.26476764,
1958,10.26485357,
1959,10.2651018,
1960,10.26467694,
1961,10.26473423,
1962,10.2648488,
1963,10.26468172,
1964,10.26480106,
1965,10.26485357,
1966,10.2648488,
1967,10.26488698,
1968,10.26465785,
1969,10.26505884,
1970,10.26512089,
1971,10.26490608,
1972,10.2650111,
1973,10.26495382,
1974,10.26486789,
1975,10.26492517,
1976,10.26478674,
1977,10.26492517,
1978,10.26478196,
1979,10.26472945,
1980,10.26504929,
1981,10.26479629,
1982,10.26502065,
1983,10.26472945,
1984,10.26498246,
1985,10.26495382,
1986,10.26480583,
1987,10.26467694,
1988,10.2648488,
1989,10.26490608,
1990,10.26482493,
1991,10.2648297,
1992,10.26478674,
1993,10.26480583,
1994,10.26498246,
1995,10.26479629,
1996,10.26477242,
1997,10.26480106,
1998,10.26465785,
1999,10.26479629,
2000,10.264992,
2001,10.26490608,
2002,10.2649204,
2003,10.26484402,
2004,10.26480106,
2005,10.26483925,
2006,10.26493472,
2007,10.2648297,
2008,10.26478196,
2009,10.264739,
2010,10.26500155,
2011,10.26503019,
2012,10.26489176,
2013,10.26487266,
2014,10.26481538,
2015,10.26486789,
2016,10.26465785,
2017,10.26504451,
2018,10.26476764,
2019,10.26461011,
2020,10.26468172,
2021,10.26487744,
2022,10.26489176,
2023,10.26464353,
2024,10.26500155,
2025,10.26455283,
2026,10.26487266,
2027,10.26445258,
2028,10.26486789,
2029,10.26457192,
2030,10.26472468,
2031,10.2645576,
2032,10.26482493,
2033,10.26442872,
2034,10.26479629,
2035,10.26486312,
2036,10.26502065,
2037,10.26467694,
2038,10.26458625,
2039,10.26489653,
2040,10.26453851,
2041,10.26478674,
2042,10.26503019,
2043,10.26492517,
2044,10.26487744,
2045,10.2648488,
2046,10.26495859,
2047,10.26488221,
2048,10.26465785,
2049,10.26502542,
2050,10.26477719,
2051,10.26489176,
2052,10.26486789,
2053,10.26477719,
2054,10.26447168,
2055,10.26481061,
2056,10.26495859,
2057,10.26481538,
2058,10.26509702,
2059,10.26471036,
2060,10.2648488,
2061,10.2649204,
2062,10.26474378,
2063,10.26475332,
2064,10.26523069,
2065,10.26502542,
2066,10.26487744,
2067,10.26461489,
2068,10.26491563,
2069,10.26494427,
2070,10.26505406,
2071,10.26486312,
2072,10.26478196,
2073,10.26507793,
2074,10.26476764,
2075,10.26491563,
2076,10.26467694,
2077,10.264992,
2078,10.26487744,
2079,10.26488698,
2080,10.26501587,
2081,10.26497768,
2082,10.26492995,
2083,10.26482493,
2084,10.26486312,
2085,10.26479151,
2086,10.26473423,
2087,10.26453851,
2088,10.26498246,
2089,10.26472945,
2090,10.26467694,
2091,10.26474855,
2092,10.26498723,
2093,10.26487744,
2094,10.26487266,
2095,10.26487266,
2096,10.2650827,
2097,10.26488698,
2098,10.26479629,
2099,10.26470081,
2100,10.26481061,
2101,10.26502542,
2102,10.26481538,
2103,10.26500155,
2104,10.26488698,
2105,10.26467217,
2106,10.26485834,
2107,10.26503019,
2108,10.26493472,
2109,10.2648488,
2110,10.26495859,
2111,10.26491563,
2112,10.2648488,
2113,10.26478674,
2114,10.26494427,
2115,10.26485357,
2116,10.26480106,
2117,10.26502065,
2118,10.26524978,
2119,10.26484402,
2120,10.26486312,
2121,10.26487266,
2122,10.26468172,
2123,10.26486312,
2124,10.26485834,
2125,10.26492995,
2126,10.26492995,
2127,10.26483925,
2128,10.26486312,
2129,10.26482493,
2130,10.26462921,
2131,10.2649204,
2132,10.2648297,
2133,10.26504929,
2134,10.26482493,
2135,10.26465308,
2136,10.26474378,
2137,10.26465308,
2138,10.26497768,
2139,10.26474378,
2140,10.2646674,
2141,10.26482015,
2142,10.26480106,
2143,10.26487266,
2144,10.26488221,
2145,10.264739,
2146,10.26493949,
2147,10.26472468,
2148,10.26489653,
2149,10.26513044,
2150,10.26502542,
2151,10.26497768,
2152,10.26496336,
2153,10.26466262,
2154,10.26496814,
2155,10.26497768,
2156,7.737727916,
2157,5.140711433,
2158,5.142014636,
2159,5.142472905,
2160,5.142592246,
2161,5.142620888,
2162,5.142888212,
